9.3	    30.55	8.7	
4.67	29.38	8.92	
0.96	24.69	15.21	
1.38	29.24	11.3	
1.48	25.47	15.39	
2.6	    32.32	8.81	
2.15	26.31	10.49	
2.14	28.46	10.87	
6.53	31.59	11.04	
1.47	26.43	17.23	
1.17	23.74	17.46	
0.88	19.97	24.43	
1.23	16.87	15.63	
0.99	18.84	16.22	
0.98	25.18	16.87	
0.85	26.55	16.15	
1.57	23.16	15.79	
1.14	22.57	12.1	
1.34	23.04	10.45	
0.79	19.14	10.61	
1.24	22.53	13.97	
0.96	21.65	16.24	
0.78	14.65	24.27	
0.81	13.85	25.44	
0.57	3.85	44.43	
1.67	24.36	17.62	
1.1	    16.85	27.93	
1.49	17.76	27.7	
16.1	20.27	22.06	
1.85	20.66	12.75	
			
