60.6725	1.0247	11.6705	-26.539	2	
25.5983	1.9192	-5.8302	26.0492	2	
90.8727	1.9671	-14.1845	-12.9439	2	
90.4619	1.0022	1.8169	65.7273	2	
53.4565	0.7593	-23.8843	-38.3107	2	
92.2256	1.7847	-4.1057	19.2281	2	
115.1196	4.6577	-16.2537	-3.9017	2	
38.9856	0.6036	2.3791	-2.5461	1	
28.9197	2.5281	2.3564	-0.2289	1	
56.7443	1.5307	-0.18	3.7282	1	
52.1203	1.3464	5.0908	10.7868	1	
52.8731	2.1049	9.0866	18.3486	1	
54.4389	5.6078	13.7846	22.3118	1	
46.3793	0.9974	9.4806	15.3517	1	
79.4863	5.919	-9.4739	7.0316	1	
					
